bond_code,bond_price,convert_value,premium_rate,ytm,remaining_size,convert_price,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
123199,141.3,109.098,29.5166,-6.3412,3.2,13.3,108.0,0.2,0.5,1.0,1.5,2.0,3.0,,,,
127086,,126.614,,,31.6,11.46,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
118035,138.0,90.31,52.807,-4.2158,4.8,62.54,115.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123198,136.802,113.907,20.0997,-3.8114,5.2,7.55,115.0,0.3,0.6,1.2,1.5,2.4,3.0,,,,
123197,131.2,131.489,-0.2198,,4.0,21.15,115.0,0.4,0.6,1.2,1.8,2.4,3.0,,,,
118034,126.826,121.89,4.0496,-3.8346,100.0,6.35,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123196,131.798,77.656,69.7203,-3.1943,3.5073,21.93,115.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123195,159.658,109.801,45.4067,-8.0332,5.460645,59.38,115.0,0.4,0.6,1.1,1.8,2.5,3.0,,,,
113670,125.121,49.894,150.7736,-1.5199,7.7,37.64,115.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123194,131.898,91.364,44.3654,-3.5759,8.6,25.36,113.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
123193,129.819,80.544,61.1777,-2.6062,6.0,14.7,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123192,128.499,72.455,77.3501,-2.2961,7.249178,17.39,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
127085,121.84,56.607,115.2384,-2.6797,24.5,11.73,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123191,,114.436,,,6.9958,12.33,112.0,0.2,0.4,0.6,1.5,1.8,2.5,,,,
123190,,160.22,,,26.0,15.46,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
123189,135.099,93.278,44.8348,-4.0783,3.29,19.34,113.0,0.3,0.5,1.1,1.8,2.5,3.0,,,,
113669,,226.954,,,11.54,25.71,108.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123187,191.499,177.308,8.0036,-12.3241,4.69,30.98,115.0,0.4,0.6,1.1,1.5,2.5,3.0,,,,
123188,167.681,149.705,12.0076,-9.3006,6.94987,13.54,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
123185,,67.303,,,3.47907,37.71,110.0,0.2,0.4,1.0,2.8,3.5,3.6,,,,
123186,,59.153,,,6.14033,41.08,115.0,0.3,0.5,1.0,1.7,2.4,2.8,,,,
113668,,36.391,,,5.24,59.08,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
127084,154.821,130.0,19.0931,-8.1767,30.0,7.3,112.0,0.2,0.4,1.0,1.5,2.3,3.0,,,,
127083,125.346,76.084,64.7469,-3.7412,48.36,7.61,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123183,133.05,95.2,39.7584,-3.6544,6.33,17.29,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123184,,111.729,,,9.75,14.92,115.0,0.3,0.4,0.8,1.5,2.3,3.0,,,,
123182,,103.837,,,7.0,32.32,115.0,0.3,0.5,1.0,1.8,2.5,3.0,,,,
118033,144.354,110.719,30.3787,-5.996,6.46,82.75,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123181,,169.333,,,2.61,38.25,115.0,0.4,0.6,1.0,1.8,2.5,3.0,,,,
113667,163.182,135.369,20.5461,-9.2007,5.7,10.15,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
113066,147.683,113.697,29.8917,-8.6273,29.0,7.52,107.0,0.2,0.4,0.8,1.2,1.6,2.0,,,,
110093,131.353,95.438,37.6318,-5.4674,30.0,8.11,107.0,0.2,0.4,0.8,1.2,1.8,2.0,,,,
123180,141.483,76.237,85.5831,-5.4988,3.2,47.89,115.0,0.2,0.6,0.8,1.5,2.0,3.0,,,,
127082,155.2,120.416,28.8865,-8.7026,11.59,5.29,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
111013,146.684,126.298,16.1412,-6.464,3.69135,8.67,115.0,0.3,0.5,1.0,1.5,2.2,3.0,,,,
118032,125.722,45.698,175.1149,-1.9463,7.0,71.71,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123179,123.8,34.532,258.5081,-1.3697,9.5,95.13,115.0,0.3,0.4,0.8,1.5,2.3,3.0,,,,
123178,138.2,104.981,31.6429,-4.8388,12.0,13.45,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
127081,,166.832,,,5.4,30.27,111.0,0.3,0.5,1.0,1.6,2.0,2.8,,,,
123176,260.573,198.192,31.475,-18.9955,12.76,64.71,112.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123177,,122.255,,,4.066821,13.48,115.0,0.2,0.4,1.0,1.5,2.0,2.5,,,,
113666,130.394,86.396,50.926,-4.496,20.0,37.49,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123175,122.327,66.912,82.8177,-1.6913,4.2,20.4,112.0,0.3,0.5,1.0,1.8,2.5,2.8,,,,
123174,,92.361,,,9.8,13.09,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
118031,132.955,118.0,12.6737,-3.8161,88.64751,16.0,115.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
110092,106.072,88.079,20.4283,2.4473,25.0,3.02,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
111012,369.967,297.95,24.1708,-24.3814,4.29018,11.22,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
111011,,188.349,,,6.0165,18.11,115.0,0.3,0.4,0.8,1.5,2.0,3.0,,,,
127080,172.92,108.086,59.9837,-11.2974,2.8,28.94,115.0,0.3,0.6,1.2,1.5,2.4,3.0,,,,
118030,257.128,256.391,0.2875,-20.2285,15.6469,39.12,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123173,141.119,103.341,36.5566,,2.424357,13.77,,0.5,0.7,1.0,1.8,2.5,3.0,,,,
127079,199.0,166.645,19.4155,-14.7055,3.4,30.73,115.0,0.4,0.6,1.0,1.8,2.4,3.0,,,,
113665,131.989,87.44,50.9481,-3.7515,3.6,6.29,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
123172,132.69,92.308,43.747,-4.4789,8.0,14.95,113.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
118029,,130.701,,,4.5,20.26,110.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
127078,152.348,122.685,24.1782,-7.971,6.0,6.48,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
110091,,130.486,,,20.47505,14.4,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
118028,,113.29,,,8.3,9.33,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
113664,,190.336,,,4.5,23.18,115.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
127077,,110.032,,,5.15,15.65,115.0,0.3,0.5,1.0,1.6,2.5,3.0,,,,
113065,,98.126,,,80.0,5.87,109.0,0.2,0.4,1.0,1.6,2.4,3.0,,,,
113663,,93.212,,,6.5,32.41,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123171,128.548,76.217,68.6605,-2.6868,3.8,27.12,115.0,0.4,0.6,1.1,1.8,2.5,3.0,,,,
118027,114.382,83.87,36.3801,1.5078,10.088,24.55,115.0,0.4,0.6,1.1,1.5,2.5,3.0,,,,
113662,,82.238,,,5.0,12.78,113.0,0.3,0.4,0.8,1.5,2.0,2.5,,,,
123170,,136.206,,,9.0,34.0,118.0,0.3,0.4,0.8,1.5,2.3,3.0,,,,
123168,131.3,83.52,57.2079,-3.6023,4.9,10.74,115.0,0.4,0.6,1.0,1.5,2.2,3.0,,,,
123169,,108.012,,,14.0,13.23,112.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
113661,140.59,127.476,10.2874,-7.2941,30.3,14.74,110.0,0.2,0.3,0.4,1.5,1.8,2.0,,,,
113660,125.172,50.76,146.5957,-2.9186,3.98,36.84,112.0,0.5,0.8,1.0,1.5,2.0,2.5,,,,
123167,,278.932,,,3.965,6.93,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
113064,,259.319,,,14.0,11.75,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
111010,137.146,100.089,37.024,-6.0353,33.9,33.59,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
111009,123.997,64.299,92.8444,-3.2925,7.0118,10.56,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123166,,97.82,,,3.0,26.15,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
113063,,149.115,,,20.08985,9.04,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
111008,,69.412,,,3.84,47.11,113.0,0.4,0.6,1.2,1.8,2.4,2.8,,,,
123165,126.537,68.553,84.5827,-2.4523,8.5,15.2,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
127076,136.7,137.145,-0.3245,,7.690459,27.46,112.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
118026,,22.81,,,9.5,218.94,110.0,0.2,0.4,0.6,1.2,2.0,2.5,,,,
118025,139.611,96.008,45.416,-7.2996,14.3501,114.97,110.0,0.2,0.4,0.8,1.5,1.8,2.0,,,,
118024,125.5,70.599,77.7646,-3.148,30.89043,22.89,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123164,,161.601,,,6.006616,11.12,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
127075,166.0,165.604,0.2391,,9.78,7.53,115.0,0.3,0.5,1.0,1.8,2.5,3.0,,,,
123163,,197.324,,,3.1,27.28,115.0,0.5,0.7,1.0,2.0,2.5,3.0,,,,
113659,133.114,89.376,48.9371,-5.8272,12.0,31.72,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123162,,287.345,,,5.7,8.06,115.0,0.5,0.7,1.0,2.0,2.5,3.0,,,,
127074,,332.688,,,12.2,30.99,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
118023,,72.192,,,15.5,33.12,115.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123161,,54.655,,,12.1,86.69,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
118022,125.813,69.35,81.4174,-3.9061,32.5,15.53,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
111007,,74.435,,,8.0,33.64,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
113657,,202.318,,,5.1,6.04,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123160,,,,,3.3489,19.77,115.0,0.5,0.7,1.0,1.8,2.5,3.0,,,,
118021,135.504,,,,4.8481,,112.0,0.5,0.7,1.0,1.8,2.2,3.0,,,,
123159,,146.653,,,2.9435,24.95,114.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123158,182.0,138.782,31.1409,-15.068,19.7,41.05,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
110090,135.398,95.043,42.4597,-6.6843,15.7,17.55,110.0,0.3,0.5,1.0,1.3,1.5,1.8,,,,
127073,,88.611,,,34.105,48.82,109.0,0.3,0.5,0.8,1.5,1.8,,,,,
118020,122.904,58.786,109.0702,1.0089,6.42,14.0,120.0,0.5,0.6,1.2,2.6,3.4,3.5,,,,
110089,,83.485,,,28.0,39.54,110.0,0.2,0.5,1.0,1.5,1.8,2.0,,,,
127072,136.348,89.575,52.2166,-6.1892,4.5,15.06,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
118019,,231.933,,,9.76702,34.76,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113658,139.253,105.707,31.7349,-12.5321,8.72388,55.72,112.0,0.3,0.5,1.0,1.5,2.0,,,,,
113062,129.946,120.204,8.1046,-6.4194,60.0,5.89,107.0,0.2,0.4,0.7,1.0,1.3,1.8,,,,
110088,,91.496,,,30.0,15.17,106.0,0.2,0.5,1.0,1.5,1.8,2.0,,,,
113656,126.885,81.449,55.7846,-2.712,8.0,10.35,115.0,0.3,0.4,0.8,1.5,2.0,3.0,,,,
123157,137.765,85.322,61.4648,-5.6623,4.946,16.01,115.0,0.3,0.4,0.8,1.5,2.3,3.0,,,,
127071,,107.306,,,4.95,53.11,108.0,0.2,0.3,0.4,1.5,1.8,2.0,,,,
118018,133.378,67.422,97.8256,-6.2766,4.3,30.91,110.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
127070,462.91,379.647,21.9317,-31.3457,15.2,10.76,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123156,,85.449,,,3.97,15.05,115.0,0.4,0.6,1.1,1.8,2.4,3.0,,,,
127068,125.167,61.757,102.6766,-4.5506,8.3,11.27,108.0,0.3,0.6,1.0,1.6,2.0,2.5,,,,
127069,132.32,88.661,49.2426,-4.1945,5.36,52.21,115.0,0.4,0.6,1.0,1.6,2.5,3.0,,,,
123155,139.89,107.997,29.5314,-6.1793,3.6,31.76,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
111006,,86.369,,,6.5067,31.18,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
118017,,151.799,,,3.6,26.68,115.0,0.3,0.5,1.0,1.8,2.5,3.0,,,,
123154,123.591,32.486,280.4439,-1.7434,5.28999,33.03,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
118016,154.695,133.285,16.0633,-9.6291,3.325,6.91,115.0,0.5,0.7,1.0,2.0,2.5,3.0,,,,
113655,135.757,102.331,32.6646,-6.3776,20.0,52.77,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113654,143.493,120.433,19.1476,-7.9708,6.10547,9.69,113.0,0.3,0.4,1.0,1.5,2.0,2.5,,,,
113653,108.027,103.879,3.9931,87.32,7.7,16.5,115.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
113652,136.884,97.25,40.7548,-7.4122,14.77,27.27,110.0,0.2,0.4,0.8,1.5,1.8,2.0,,,,
118015,128.834,57.642,123.5072,-3.2209,4.1,55.22,115.0,0.4,0.7,1.2,1.8,2.4,3.0,,,,
123153,,78.274,,,3.4,19.24,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
127067,145.651,123.433,18.0,-9.8626,30.0,10.37,109.0,0.2,0.3,0.4,1.5,1.8,2.0,,,,
123152,,104.168,,,2.9235,29.27,118.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
113651,,221.894,,,6.1,16.58,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
118014,,16.425,,,4.833,84.81,110.0,0.2,0.4,0.8,1.2,1.6,2.0,,,,
113061,,80.975,,,25.0,71.38,110.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
127066,147.48,104.243,41.4771,-10.1378,15.343705,148.7,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
118013,193.088,147.998,30.4666,-16.9426,12.8,21.98,115.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
118012,152.363,115.472,31.948,-9.5264,5.0,25.4,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
118011,142.449,108.019,31.874,-7.1735,5.0,31.3,115.0,0.4,0.6,1.2,1.8,2.4,3.0,,,,
123151,123.563,48.421,155.1847,-1.5219,7.0,27.55,115.0,0.4,0.7,1.2,1.8,2.5,3.0,,,,
113650,125.94,45.788,175.0502,-2.606,8.0,23.15,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123150,125.032,71.238,75.5131,-3.9675,11.39,16.48,110.0,0.3,0.5,1.0,1.5,2.3,3.0,,,,
118010,122.09,34.181,257.1867,-3.1875,4.4,47.95,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113649,141.072,113.256,24.5603,-7.0924,5.0,13.73,115.0,0.3,0.6,1.0,1.5,2.0,3.0,,,,
118009,,87.014,,,4.0,130.91,113.0,0.3,0.5,1.0,1.8,2.5,3.0,,,,
110087,138.874,125.536,10.6248,-8.8441,30.0,5.6,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
118008,107.561,107.415,0.1359,,6.94,46.8,115.0,0.3,0.4,0.8,1.6,2.2,2.7,,,,
111005,145.385,115.442,25.9377,-10.351,5.7,11.98,108.3,0.3,0.5,1.0,1.5,1.8,2.5,,,,
127065,,175.461,,,4.398,17.36,115.0,0.4,0.6,1.1,1.8,2.5,3.0,,,,
123149,150.11,151.292,-0.7813,-10.3672,14.8472,2.71,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113060,,93.804,,,70.0,10.49,106.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
123148,,122.611,,,4.2,36.31,112.0,0.3,0.5,1.0,1.8,2.5,2.8,,,,
123147,,104.627,,,5.70537,7.78,115.0,0.3,0.5,0.8,1.5,2.0,2.5,,,,
113059,125.159,37.785,231.2399,-3.6605,40.0,41.71,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
127064,147.52,106.739,38.2063,-11.424,11.37,25.97,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123146,132.484,133.066,-0.4374,,8.64,6.23,115.0,0.3,0.6,1.0,1.6,2.5,3.0,,,,
113648,124.582,67.692,84.0424,-4.1731,10.0,25.04,110.0,0.4,0.6,1.0,1.5,2.25,3.0,,,,
127063,,99.13,,,18.0,4.6,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
110086,130.794,85.595,52.8057,-5.7082,20.0,4.79,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113647,123.914,67.195,84.4096,-3.3497,15.0,10.09,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
127062,130.44,67.852,92.2419,-4.4166,3.963,7.59,115.0,0.4,0.6,1.0,1.5,2.0,3.0,,,,
123145,,37.105,,,11.5,92.98,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
127061,122.449,96.578,26.7877,-0.1377,35.9,5.26,118.0,0.3,0.4,0.8,1.6,2.5,3.0,,,,
127060,120.961,63.606,90.1723,-3.2639,6.4,21.13,110.0,0.2,0.4,0.8,1.2,1.6,2.0,,,,
113644,139.495,106.542,30.9296,-7.3199,10.0,18.65,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
113646,175.539,149.938,17.0744,-17.7387,1.45868,8.05,108.3,0.3,0.5,1.0,1.5,1.8,2.5,,,,
123144,125.267,72.235,73.4159,-2.6414,6.0,8.5,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
127059,134.236,92.157,45.6601,-5.755,3.8,8.16,115.0,0.4,0.6,1.0,1.5,2.0,3.0,,,,
123143,,223.838,,,3.3,23.45,112.0,0.4,0.6,1.0,1.5,2.0,2.5,,,,
113058,150.372,129.687,15.9499,-11.5903,20.0,4.48,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
111004,141.622,113.068,25.2538,-7.9379,6.73,24.41,115.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
113643,131.2,79.272,65.5061,-5.4153,5.0,11.82,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
113057,,130.859,,,78.0,10.24,106.0,0.2,0.4,0.6,1.0,1.8,2.0,,,,
113056,128.398,113.579,13.0473,-6.2122,130.0,9.5,110.0,0.2,0.4,1.0,1.7,2.5,3.5,,,,
118007,137.213,93.576,46.6327,-7.5841,2.6743,16.5,114.0,0.4,0.7,1.2,1.8,2.5,2.8,,,,
127058,,193.922,,,30.0,17.11,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123142,119.0,57.016,108.7133,-2.8019,5.5,33.71,110.0,0.3,0.5,1.0,1.8,2.4,3.0,,,,
118006,132.244,127.628,3.6168,-5.6558,3.874,13.32,115.0,0.4,0.7,1.2,1.8,2.5,3.0,,,,
123141,,109.393,,,3.2126,6.92,115.0,0.5,0.7,1.0,2.0,2.5,3.0,,,,
123140,,140.497,,,1.72,12.47,112.0,0.5,0.7,1.2,1.8,2.2,2.5,,,,
123139,,101.15,,,4.3,76.5,115.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
111003,137.425,88.83,54.7056,-7.4378,2.04,11.37,115.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
127057,,122.414,,,2.76,26.59,115.0,0.4,0.7,1.2,1.8,2.4,3.0,,,,
113055,,117.137,,,80.0,14.53,107.0,0.2,0.4,0.7,1.2,1.7,2.0,,,,
123138,129.974,66.717,94.8139,-4.9582,2.4,26.53,115.0,0.5,0.7,1.2,1.8,2.5,3.0,,,,
113642,,16.703,,,24.7,145.66,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
127056,128.254,73.234,75.129,-8.3908,50.0,22.23,106.0,0.2,0.4,0.9,1.3,1.6,2.0,,,,
113054,133.117,120.135,10.8062,-8.7352,23.6,8.89,109.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
113641,,53.546,,,76.0,110.26,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
