bond_code,bond_name,stock_code,stock_name,price,change_pct,stock_price,stock_change_pct,convert_price,convert_value,premium_rate,ytm,dblow,year_left,remaining_size,issue_size,rating,pb,pb_flag,redeem_trigger_price,putback_trigger_price,putback_ytm,bond_stock_ratio,volume,turnover_rate,maturity_date,revise_count,revise_success_count,revise_tips,listing_date,market,bond_type
404004,汇车退债,400245,汇车5,68.826,35.35,0.07,-12.5,0.1,70,-1.68,160.56,67.15,0.375,13.137,33.7,A,0.02,Y,0.13,0.07,,226.2,868.72,0.96,2026-08-18,6,6,转股价下修6次，成功下修6次,2024-11-01,sb,C
118006,阿拉转债,688179,阿拉丁,121.073,-3.16,16.24,-3.04,13.32,121.92,-0.7,-1.54,120.37,1.951,2.904,3.874,A+,5.08,N,17.316,9.324,,5.3,18350.08,51.48,2028-03-15,2,2,转股价下修2次，成功下修2次,2022-04-12,shkc,C
123246,远信转债,301053,远信工业,186.76,3.18,43.16,3.53,22.95,188.06,-0.69,,186.07,,0.404,2.865,A,5.47,N,29.835,16.065,,1.1,52055.65,698.62,2030-08-16,0,0,,2024-09-03,szcy,C
118049,汇成转债,688403,汇成股份,181.705,-0.12,13.87,0,7.61,182.26,-0.3,-9.9,181.41,4.348,4.501,11.487,AA-,3.64,N,9.893,5.327,,3.5,25502.07,30.91,2030-08-07,0,0,,2024-09-02,shkc,C
118030,睿创转债,688002,睿创微纳,260.502,-0.06,102.19,0.69,39.12,261.22,-0.28,-26.46,260.22,2.745,12.78,15.647,AA,7.63,N,50.856,27.384,,2.7,33117.51,9.91,2028-12-30,0,0,,2023-02-10,shkc,C
123254,亿纬转债,300014,亿纬锂能,119.2,-3.97,60,-4.69,50.28,119.33,-0.11,,119.09,,34.099,50,AA+,2.97,N,65.364,35.196,,2.8,77749.4,18.84,2031-03-24,0,0,,2025-04-11,szcy,C
118038,金宏转债,688106,金宏气体,146.97,5.76,27.8,5.38,18.97,146.55,0.29,-6.26,147.26,3.29,4.648,10.16,AA-,4.45,N,24.661,13.279,,3.3,207095.48,308.34,2029-07-17,1,1,转股价下修1次，成功下修1次,2023-08-10,shkc,C
113687,振华转债,603067,振华股份,425.361,10.89,34.68,9.99,8.2,422.93,0.58,-26.73,425.94,4.277,3.809,4.062,AA,7.09,N,10.66,5.74,,1.5,302913.15,190.71,2030-07-12,0,0,,2024-08-02,shmb,C
113618,美诺转债,603538,美诺华,190.076,-3.47,40,-5.48,21.28,187.97,1.12,-53.96,191.2,0.784,4.561,5.2,AA-,3.81,N,27.664,14.896,,5.3,760045.64,814.52,2027-01-14,1,1,转股价下修1次，成功下修1次,2021-02-04,shmb,C
123256,恒帅转债,300969,恒帅股份,187.2,-5.87,115.38,-3.44,62.55,184.46,1.49,-8.55,188.69,5.156,3.273,3.28,A+,9.35,N,81.315,43.785,,2.9,67181.51,105.56,2031-05-29,0,0,,2025-06-17,szcy,C
127094,红墙转债,002809,红墙股份,103,-1.69,10.51,-3.84,10.44,100.67,2.31,,105.31,,1.626,3.16,A+,1.46,N,13.572,7.308,,10,6018.76,35.78,2029-10-18,0,0,,2023-11-08,szmb,C
113640,苏利转债,603585,苏利股份,145.935,5.37,24.51,10.01,17.2,142.5,2.41,-11.23,148.35,1.874,9.004,9.572,AA-,1.73,N,22.36,12.04,,20.1,134819.45,103.41,2028-02-16,1,1,转股价下修1次，成功下修1次,2022-03-10,shmb,C
111013,新港转债,605162,新中港,152.064,-7.97,12.79,-8.97,8.67,147.52,3.08,-8.22,155.14,2.932,3.656,3.691,AA-,3.91,N,11.271,6.069,,7.1,451749.26,753.84,2029-03-08,0,0,,2023-05-05,shmb,C
123236,家联转债,301193,家联科技,147.574,-0.82,21.94,-1.3,15.33,143.12,3.11,-5.68,150.68,3.723,7.012,7.5,AA-,2.56,N,19.929,10.731,,23.1,12587,12.12,2029-12-22,1,1,转股价下修1次，成功下修1次,2024-01-18,szcy,C
123243,严牌转债,301081,严牌股份,210.6,0.77,14.84,2.98,7.27,204.13,3.17,-12.75,213.77,4.271,3.041,4.679,A+,3.03,N,9.451,5.089,,9.4,46863.85,72.3,2030-07-10,0,0,,2024-07-26,szcy,C
123118,惠城转债,300779,惠城环保,818.77,-2.94,88,-4.16,11.11,792.08,3.37,-78.93,822.14,1.26,0.808,3.2,A+,13.17,N,14.443,7.777,,0.6,29082.02,43.6,2027-07-07,0,0,,2021-07-26,szcy,C
123187,超达转债,301186,超达装备,197.193,5.24,58.9,5.1,30.98,190.12,3.72,-15.52,200.91,3.006,2.679,4.69,A,2.96,N,40.274,21.686,,6,27823.79,53.09,2029-04-04,0,0,,2023-04-25,szcy,C
113653,永22转债,603681,永冠新材,105.832,-0.22,16.82,-0.88,16.5,101.94,3.82,,109.65,,3.335,7.7,AA-,1.36,N,21.45,11.55,,9.1,5056.26,14.31,2028-07-28,2,2,转股价下修2次，成功下修2次,2022-08-26,shmb,C
113039,嘉泽转债,601619,嘉泽新能,181.982,-0.95,5.01,-1.96,2.91,172.17,5.7,-103.76,187.68,0.392,2.865,13,AA,1.84,N,3.783,2.037,,2.3,21687.2,41.1,2026-08-24,0,0,,2020-09-17,shmb,C
110077,洪城转债,600461,洪城环境,209.911,-0.25,9.69,-0.31,4.88,198.57,5.71,-75.54,215.62,0.633,6.685,18,AA+,1.28,N,6.344,3.416,,5.4,5127.82,3.65,2026-11-20,0,0,,2020-12-17,shmb,C
123049,维尔转债,300190,维尔利,117.84,-0.11,3.92,-0.76,3.55,110.42,6.72,4.96,124.56,0.027,2.529,9.172,A-,1.27,N,4.615,2.485,,6.9,15004.15,50.34,2026-04-13,6,6,转股价下修6次，成功下修6次,2020-05-12,szcy,C
111000,起帆转债,605222,起帆电缆,138.494,0.06,22.37,-2.44,17.35,128.93,7.41,-13.94,145.9,1.14,9.992,10,AA-,1.91,N,22.555,12.145,,10.8,12016.93,8.73,2027-05-24,1,1,转股价下修1次，成功下修1次,2021-06-17,shmb,C
110074,精达转债,600577,精达股份,386.07,0.97,11.88,0,3.32,357.83,7.89,-189.16,393.96,0.378,2.637,7.87,AA,4.16,N,4.316,2.324,,1,36331.77,35.22,2026-08-19,0,0,,2020-09-21,shmb,C
118003,华兴转债,688001,华兴源创,144.167,0.71,34.97,7.04,26.22,133.37,8.09,-14.34,152.26,1.658,7.109,8,AA,4.41,N,34.086,18.354,,4.6,16941.36,16.53,2027-11-29,2,2,转股价下修2次，成功下修2次,2021-12-20,shkc,C
113042,上银转债,601229,上海银行,123.999,-0.09,9.83,-1.01,8.57,114.7,8.1,-11.89,132.1,0.814,199.777,200,AAA,0.54,Y,11.141,,,14.3,20220.04,0.81,2027-01-25,0,0,,2021-02-10,shmb,C
113062,常银转债,601128,常熟银行,129.61,-0.1,7.04,-0.85,5.89,119.53,8.44,-6.79,138.05,2.455,59.994,60,AAA,0.77,N,7.657,,,25.7,14068.07,1.81,2028-09-15,0,0,,2022-10-17,shmb,C
127088,赫达转债,002810,山东赫达,144.753,-0.51,22.35,-2.99,16.76,133.35,8.55,-5.84,153.3,3.252,5.997,6,AA-,3.37,N,21.788,11.732,,8.3,20016.42,23.04,2029-07-03,0,0,,2023-07-19,szmb,C
128141,旺能转债,002034,旺能环境,130.907,-0.46,16.68,-1.88,13.98,119.31,9.72,-22.68,140.63,0.707,11.576,14,AA,1.02,N,18.174,9.786,,16.1,5378.41,3.54,2026-12-17,0,0,,2021-01-18,szmb,C
123213,天源转债,301127,武汉天源,236.9,3.9,15.37,-1.73,7.14,215.27,10.05,-19.55,246.95,3.321,3.26,10,AA-,3.13,N,9.282,4.998,,3.2,37511.9,48.48,2029-07-28,0,0,,2023-08-16,szcy,C
123207,冠中转债,300948,冠中生态,196.5,-1.5,18.6,-3.63,10.44,178.16,10.29,-14.12,206.79,3.301,1.83,4,A-,3.73,N,13.572,7.308,,6.5,10950.04,30.21,2029-07-21,1,1,转股价下修1次，成功下修1次,2023-08-09,szcy,C
